,case,model,area,variable,mean,std,periodo,predictor
57,pycpt_GTM_EPS_UA_JJA,SEAS5,norte,two_alternative_forced_choice,70.52675596153846,8.028412967595118,JJA,UA
58,pycpt_GTM_EPS_UA_JJA,SEAS5,norte,roc_area_below_normal,0.8014583076923076,0.136451263637853,JJA,UA
59,pycpt_GTM_EPS_UA_JJA,SEAS5,norte,roc_area_above_normal,0.7435735384615385,0.08154746899021488,JJA,UA
60,pycpt_GTM_EPS_UA_JJA,CanSIPSIC3,sur,pearson,0.5757803571428572,0.10502180767114659,JJA,UA
61,pycpt_GTM_EPS_UA_JJA,CanSIPSIC3,sur,spearman,0.5913042857142857,0.08797718046778509,JJA,UA
62,pycpt_GTM_EPS_UA_JJA,CanSIPSIC3,sur,two_alternative_forced_choice,70.88509321428572,3.7867014670614254,JJA,UA
63,pycpt_GTM_EPS_UA_JJA,CanSIPSIC3,sur,roc_area_below_normal,0.7905601428571428,0.06295089460258135,JJA,UA
64,pycpt_GTM_EPS_UA_JJA,CanSIPSIC3,sur,roc_area_above_normal,0.7840607857142857,0.06599013198867429,JJA,UA
65,pycpt_GTM_EPS_UA_JJA,CanSIPSIC3,central,pearson,0.5573213333333333,0.07315165105317552,JJA,UA
66,pycpt_GTM_EPS_UA_JJA,CanSIPSIC3,central,spearman,0.548297125,0.07674786882780117,JJA,UA
67,pycpt_GTM_EPS_UA_JJA,CanSIPSIC3,central,two_alternative_forced_choice,70.304951625,3.217776006780987,JJA,UA
68,pycpt_GTM_EPS_UA_JJA,CanSIPSIC3,central,roc_area_below_normal,0.7737766666666667,0.052919009541048244,JJA,UA
69,pycpt_GTM_EPS_UA_JJA,CanSIPSIC3,central,roc_area_above_normal,0.7340503333333332,0.05818342436400785,JJA,UA
70,pycpt_GTM_EPS_UA_JJA,CanSIPSIC3,norte,pearson,0.3975201538461538,0.212713077535425,JJA,UA
71,pycpt_GTM_EPS_UA_JJA,CanSIPSIC3,norte,spearman,0.4770234230769231,0.1367250471398636,JJA,UA
72,pycpt_GTM_EPS_UA_JJA,CanSIPSIC3,norte,two_alternative_forced_choice,67.7675585,5.710650768963903,JJA,UA
73,pycpt_GTM_EPS_UA_JJA,CanSIPSIC3,norte,roc_area_below_normal,0.744370423076923,0.09136196074708432,JJA,UA
74,pycpt_GTM_EPS_UA_JJA,CanSIPSIC3,norte,roc_area_above_normal,0.701917,0.0778804778470979,JJA,UA
